1910;92228496
1911;93445167
1912;94671695
1913;95917937
1914;97193747
1915;98508984
1916;99873504
1917;101297162
1918;102789816
1919;104361322
1920;106021537
1921;107773848
1922;109595770
1923;111458348
1924;113332629
1925;115189658
1926;117000481
1927;118736143
1928;120367690
1929;121866168
1930;123202624
1931;124358980
1932;125360676
1933;126244029
1934;127045357
1935;127800977
1936;128547206
1937;129320363
1938;130156764
1939;131092727
1940;132164569
1941;133401587
1942;134804997
1943;136368994
1944;138087773
1945;139955529
1946;141966458
1947;144114754
1948;146394612
1949;148800228
1950;151325798
1951;153962936
1952;156692946
1953;159494550
1954;162346472
1955;165227434
1956;168116161
1957;170991375
1958;173831800
1959;176616159
1960;179323175
1961;181937324
1962;184466097
1963;186922737
1964;189320487
1965;191672590
1966;193992290
1967;196292831
1968;198587455
1969;200889405
1970;203211926
1971;205564323
1972;207940160
1973;210329062
1974;212720656
1975;215104568
1976;217470423
1977;219807848
1978;222106470
1979;224355913
1980;226545805
1981;228671593
1982;230752019
1983;232811644
1984;234875031
1985;236966744
1986;239111343
1987;241333394
1988;243657457
1989;246108096
1990;248709873
1991;251480328
1992;254408915
1993;257478062
1994;260670200
1995;263967758
1996;267353167
1997;270808856
1998;274317256
1999;277860796
2000;281421906
2001;284985944
2002;288549982
2003;292114020
2004;295678058
2005;299242096
2006;302806134
2007;306370172
2008;309934211
2009;313498249
2010;317062287
