1880;18446744066839924164
1881;18446744067952858919
1882;18446744068911276674
1883;18446744069733463812
1884;18446744070435901390
1885;18446744071033409862
1886;18446744071539284746
1887;18446744071965423645
1888;18446744072322445026
1889;18446744072619799145
1890;18446744072865871511
1891;18446744073068079239
1892;18446744073232960657
1893;18446744073366258514
1894;18446744073472997114
1895;18446744073557553699
1896;18446744073623724404
1897;18446744073674785057
1898;3995528
1899;32857579
1900;53852249
1901;68689361
1902;78795144
1903;85347917
1904;89310442
1905;91459167
1906;92410563
1907;92644772
1908;92526741
1909;92325033
1910;92228496
1911;92360942
1912;92794020
1913;93558400
1914;94653444
1915;96055481
1916;97724819
1917;99611616
1918;101660728
1919;103815632
1920;106021537
1921;108227765
1922;110389508
1923;112469017
1924;114436331
1925;116269591
1926;117955015
1927;119486597
1928;120865581
1929;122099755
1930;123202624
1931;124192483
1932;125091453
1933;125924479
1934;126718350
1935;127500746
1936;128299334
1937;129140943
1938;130050814
1939;131051950
1940;132164569
1941;133405661
1942;134788665
1943;136323244
1944;138015180
1945;139866374
1946;141874941
1947;144035403
1948;146338966
1949;148773867
1950;151325798
1951;153978363
1952;156713595
1953;159512491
1954;162355555
1955;165223358
1956;168097072
1957;170958984
1958;173792974
1959;176584942
1960;179323174
1961;181998638
1962;184605199
1963;187139752
1964;189602255
1965;191995672
1966;194325808
1967;196601053
1968;198832023
1969;201031105
1970;203211926
1971;205388733
1972;207575723
1973;209786311
1974;212032387
1975;214323558
1976;216666412
1977;219063850
1978;221514484
1979;224012189
1980;226545804
1981;229099073
1982;231650844
1983;234175614
1984;236644462
1985;239026452
1986;241290578
1987;243408323
1988;245356931
1989;247123485
1990;248709873
1991;250138766
1992;251460719
1993;252762494
1994;254176765
1995;255893306
1996;258171825
1997;261356581
1998;265892949
1999;272346090
2000;281421905
2001;293990450
2002;311112003
2003;334065985
2004;364382940
2005;403879782
2006;454698557
2007;519348931
2008;600754666
2009;702304330
2010;827906509
2011;982049802
2012;1169867874
2013;1397209871
2014;1670716500
2015;1997902099
2016;2387243017
2017;2848272652
2018;3391683496
2019;4029436550
2020;4774878490
2021;5642866963
2022;6649904429
2023;7814280936
2024;9156226281
2025;10698071983
2026;12464423509
2027;14482343237
2028;16781544622
2029;19394598057
2030;22357148941
